,texts,prediction,score
0,"	1.1. Летом в спортивный лагерь ходили 50 детей, из них 9 девочек. Сколько мальчиков ходили в спортивный лагерь?",спорт,0.4966838882140111
1,	1.2. На концерте в летнем лагере ребята играли на гитарах. У 3 гитар 18 струн. Сколько струн у 1 гитары?,музыка,0.6213881309365316
3,"	1.4. Во время летних соревнований по плаванию ребята посетили бассейн. Длина плавательной дорожки в бассейне 25 м. После того как первый участник соревнований проплыл часть дорожки, ему осталось проплыть 10 м. Сколько метров уже проплыл участник соревнований?",спорт,0.646785191536665
4,"	1.5. В спортивную школу во время летних каникул купили 10 теннисных и 12 волейбольных мячей. На сколько теннисных мячей меньше, чем волейбольных?",спорт,0.6403035545047161
6,"	1.7. Самые крупные животные на нашей планете – синие киты. Они весят 150 т, их длина 33 м. Если такого кита поставить на голову, он будет высотой с десятиэтажный дом. Самое высокое на Земле животное – жираф. Его рост почти 5 м. На сколько жираф меньше кита?",животные,0.4076552400608187
10,	1.11. Три кошки купили сапожки по паре на каждую кошку. Сколько у кошек ножек? Сколько пар они купили сапожек?,музыка,0.35325234616035833
13,"	1.14*. Рост Буратино 1 м, а длина его носа 9 см. На сколько сантиметров длина носа Буратино меньше его роста?",животные,0.3140305697657791
16,"	1.17. Винтик и Шпунтик бежали наперегонки. Когда Винтик пробежал 50 м, Шпунтик обогнал его на 7 м. Сколько метров пробежал Шпунтик?",спорт,0.320359906637734
17,"	1.18. Когда ребята для соревнований взяли 19 скакалок, то осталось ещё 3 скакалки. Сколько скакалок было?",спорт,0.3877264939279356
18,	1.19. Начерти прямоугольник со сторонами 5 см и 8 см. Найди периметр.,музыка,0.30641966624928846
19,"	1.20. Ребята из авиамодельного кружка устроили соревнования в парке. В небо взлетело 10 моделей самолётов, 5 моделей вертолётов, а аэропланов – столько, сколько самолётов и вертолётов вместе. Сколько всего моделей летало в парке?",спорт,0.32572603773140746
20,"	1.21. Длина одной стороны прямоугольника 9 см, другой – на 5 см меньше. Найди периметр этого прямоугольника.",музыка,0.31940476127273687
21,	1.22. Фунтик разложил 30 пирожков на 10 тарелок поровну. Сколько пирожков он положил на каждую тарелку?,музыка,0.3389567240710626
24,"	1.25. У продавца было 30 шаров: 15 синих, 4 жёлтых, а остальные – зелёные. Сколько зелёных шаров было у продавца?",животные,0.3018759936951196
25,"	1.26. Незнайка, побывав в роли художника, нарисовал 8 портретов, а пейзажей – на 6 больше. Сколько всего картин нарисовал Незнайка?",литература,0.34260319790536514
28,	1.29. Вороны высиживают яйца три недели. Сколько дней высиживают яйца вороны?,животные,0.3802162997378285
29,"	1.30. В киоске 10 журналов, 14 брошюр1, а газет на 6 больше, чем журналов и брошюр вместе. Сколько газет в киоске?",литература,0.4393915022645051
30,	1.31. Грач приносил своим птенцам по 2 червя 6 раз. Сколько всего червей принёс грач птенцам?,животные,0.3719965586244836
31,	1.32. Зоя для букетов любимым учителям к 1 сентября срезала 5 красных и 10 синих астр. Все астры она поставила в 3 вазы. Сколько астр в одной вазе?,литература,0.3036742820310217
36,"	1.37. В классе 11 девочек, на 2 больше, чем мальчиков. Сколько всего детей в классе?",животные,0.39261677576236587
37,"	1.38. В классе было несколько человек. Когда пришли ещё 6, стало 15. Сколько человек было в классе сначала?",животные,0.463784743367625
38,"	1.39. На каждом этаже дома по 8 квартир. Сколько всего квартир в доме, если он трёхэтажный?",литература,0.3010985697910576
40,"	1.41. В летние каникулы за день Наташа прочитала 25 страниц книги: утром 5 страниц, днём 8 страниц. Сколько страниц Наташа прочитала вечером?",литература,0.33827224043386067
44,"	1.45. Звездочёт в телескоп наблюдал 13 красных звёзд, синих – на 15 больше, а голубых – столько, сколько красных и синих вместе. Сколько голубых звёзд на небе увидел звездочёт?",животные,0.3217216378700476
45,	1.46. Периметр квадрата 16 см. Узнай длину стороны этого квадрата.,музыка,0.31639477850027126
53,"	1.54. Первоклассники на уроке математики для счёта из коробки взяли 8 мячей, после этого в ней осталось 5 мячей. Сколько мячей было в коробке?",спорт,0.6511431665432155
57,	1.58. Начерти один отрезок длиной 8 см. Ниже начерти второй отрезок длиннее первого на 2 см.,животные,0.32337981823390055
