,Unnamed: 0,texts,prediction,score,tokens,highlights
0,0,"	1.1. Летом в спортивный лагерь ходили 50 детей, из них 9 девочек. Сколько мальчиков ходили в спортивный лагерь?",спорт,0.4966838882140111,"['спортивный', 'лагерь', 'ребёнок', 'мальчик', 'спортивный', 'лагерь']",спортивный лагерь мальчик ребёнок
1,1,	1.2. На концерте в летнем лагере ребята играли на гитарах. У 3 гитар 18 струн. Сколько струн у 1 гитары?,музыка,0.6213881309365316,"['концерт', 'летний', 'ребята', 'гитара', 'гитара', 'струна', 'струна', 'гитара']",струна концерт гитара летний ребята
2,3,"	1.4. Во время летних соревнований по плаванию ребята посетили бассейн. Длина плавательной дорожки в бассейне 25 м. После того как первый участник соревнований проплыл часть дорожки, ему осталось проплыть 10 м. Сколько метров уже проплыл участник соревнований?",спорт,0.646785191536665,"['летний', 'соревнование', 'плавание', 'ребята', 'посетить', 'бассейн', 'длина', 'плавательный', 'дорожка', 'бассейн', 'участник', 'соревнование', 'проплыть', 'дорожка', 'остаться', 'проплыть', 'метр', 'проплыть', 'участник', 'соревнование']",дорожка соревнование плавательный плавание проплыть
3,4,"	1.5. В спортивную школу во время летних каникул купили 10 теннисных и 12 волейбольных мячей. На сколько теннисных мячей меньше, чем волейбольных?",спорт,0.6403035545047161,"['спортивный', 'школа', 'летний', 'каникулы', 'купить', 'теннисный', 'волейбольный', 'мяч', 'теннисный', 'мяч', 'волейбольный']",мяч каникулы летний теннисный купить волейбольный спортивный
4,6,"	1.7. Самые крупные животные на нашей планете – синие киты. Они весят 150 т, их длина 33 м. Если такого кита поставить на голову, он будет высотой с десятиэтажный дом. Самое высокое на Земле животное – жираф. Его рост почти 5 м. На сколько жираф меньше кита?",животные,0.4076552400608187,"['животное', 'синий', 'кит', 'весить', 'длина', 'кит', 'поставить', 'голова', 'высота', 'десятиэтажный', 'дом', 'земля', 'животное', 'жираф', 'жираф', 'кит']",высота весить голова длина кит жираф синий
5,10,	1.11. Три кошки купили сапожки по паре на каждую кошку. Сколько у кошек ножек? Сколько пар они купили сапожек?,музыка,0.35325234616035833,"['кошка', 'купить', 'сапожок', 'пара', 'кошка', 'кошка', 'ножка', 'пара', 'купить', 'сапожок']",пара ножка кошка купить
6,13,"	1.14*. Рост Буратино 1 м, а длина его носа 9 см. На сколько сантиметров длина носа Буратино меньше его роста?",животные,0.3140305697657791,"['буратино', 'длина', 'нос', 'сантиметр', 'длина', 'нос', 'буратино']",нос сантиметр длина
7,16,"	1.17. Винтик и Шпунтик бежали наперегонки. Когда Винтик пробежал 50 м, Шпунтик обогнал его на 7 м. Сколько метров пробежал Шпунтик?",спорт,0.320359906637734,"['винтик', 'шпунтик', 'бежать', 'наперегонки', 'винтик', 'пробежать', 'шпунтик', 'обогнать', 'метр', 'пробежать', 'шпунтик']",обогнать метр пробежать бежать
8,17,"	1.18. Когда ребята для соревнований взяли 19 скакалок, то осталось ещё 3 скакалки. Сколько скакалок было?",спорт,0.3877264939279356,"['ребята', 'соревнование', 'взять', 'скакалка', 'остаться', 'скакалка', 'скакалка']",остаться соревнование взять скакалка ребята
9,18,	1.19. Начерти прямоугольник со сторонами 5 см и 8 см. Найди периметр.,музыка,0.3064196662492885,"['начертить', 'прямоугольник', 'периметр']",периметр прямоугольник
10,19,"	1.20. Ребята из авиамодельного кружка устроили соревнования в парке. В небо взлетело 10 моделей самолётов, 5 моделей вертолётов, а аэропланов – столько, сколько самолётов и вертолётов вместе. Сколько всего моделей летало в парке?",спорт,0.32572603773140746,"['ребята', 'авиамодельный', 'кружка', 'устроить', 'соревнование', 'парка', 'взлететь', 'модель', 'модель', 'аэроплан', 'столько', 'модель', 'летать', 'парка']",модель устроить взлететь аэроплан парка летать ребята кружка столько
11,20,"	1.21. Длина одной стороны прямоугольника 9 см, другой – на 5 см меньше. Найди периметр этого прямоугольника.",музыка,0.3194047612727369,"['длина', 'прямоугольник', 'периметр', 'прямоугольник']",периметр длина прямоугольник
12,21,	1.22. Фунтик разложил 30 пирожков на 10 тарелок поровну. Сколько пирожков он положил на каждую тарелку?,музыка,0.3389567240710626,"['фунтик', 'пирожковый', 'тарелка', 'поровну', 'пирожковый', 'положить', 'тарелка']",поровну положить пирожковый тарелка
13,24,"	1.25. У продавца было 30 шаров: 15 синих, 4 жёлтых, а остальные – зелёные. Сколько зелёных шаров было у продавца?",животные,0.3018759936951196,"['продавец', 'шаров', 'синий', 'жёлтый', 'зелёный', 'зелёный', 'шаров', 'продавец']",шаров продавец синий жёлтый зелёный
14,25,"	1.26. Незнайка, побывав в роли художника, нарисовал 8 портретов, а пейзажей – на 6 больше. Сколько всего картин нарисовал Незнайка?",литература,0.34260319790536514,"['незнайка', 'побывать', 'художник', 'нарисовать', 'портрет', 'пейзаж', 'картина', 'нарисовать', 'незнайка']",художник портрет побывать нарисовать картина пейзаж
