,id,category,keywords
0,0,спорт,соревнование; получить; решить
1,1,литература,коробка; решить
2,2,спорт,группа; заниматься; задача; решить
3,3,литература,конец; прочитать; рубль
4,4,литература,тетрадь; школа
5,5,литература,тетрадь; решить; 15
6,6,литература,книга; 15
7,7,спорт,блок
8,8,животные,дорога
9,9,животные,река; маленький
10,10,литература,написать; решить
11,11,животные,20; смотреть
12,12,литература,остаться; купить
13,13,литература,решить
14,14,спорт,проходить; турист; задача; решить
15,15,спорт,велосипедист; место; пройти
16,16,спорт,спортивный; игрок; задача; получить; игра; решить
17,17,литература,книга; решить
18,18,спорт,соревнование; спортивный; место; комната; группа; дом; девочка
19,19,литература,книга; прочитать; мама; купить; решить; 30
20,20,животные,собака
21,21,животные,
22,22,литература,кружка; остаться; 13
23,23,животные,11
24,24,животные,38; маленький
25,25,литература,бумага; журнал
26,26,животные,тело; древний; это
27,27,литература,книга; колобок; рубль; решить; купить
28,28,литература,книга; коробка; 35
29,29,спорт,соревнование
30,30,животные,20
31,31,литература,коробка
32,32,литература,решить; посадить
33,33,литература,тетрадь; 30; сделать
34,34,животные,высота; маленький
35,35,спорт,заниматься; часть
36,36,спорт,велосипед; пробежать; часть
37,37,литература,решить; 15
38,38,спорт,соревнование; составлять; равный
39,39,спорт,велосипедист
40,40,литература,книга
41,41,животные,добрый; 10; спать; 11; пастись; смотреть
42,42,животные,вид; 11; маленький; смотреть
43,43,спорт,составлять; играть; игра; длина; получить; равный; задача; решить
44,44,животные,дорога; маленький; день
45,45,спорт,проходить; шаг; занимать; прыгнуть; игра; равный
46,46,спорт,соревнование; девочка
47,47,литература,тетрадь; решить; сделать
48,48,спорт,мяч; задача; решить
49,49,литература,книга; прочитать; решить; сделать; 23
50,50,животные,рыбка; рисунок; смочь; аквариум
51,51,литература,коробка
52,52,литература,бумага; книга; решить
53,53,литература,знать; сделать
54,54,литература,решить
55,55,спорт,мяч; игрок; команда
56,56,спорт,велосипед; физкультура; место; ехать
57,57,спорт,проходить; соревнование; задача; дом
58,58,литература,тетрадь
59,59,музыка,гитара
60,60,музыка,музыкант
61,61,литература,книга
62,62,животные,маленький
63,63,спорт,проходить; турист; пройти
64,64,животные,20; маленький
65,65,животные,кошка; корова; собака; иметь; хвост; 10
66,66,животные,
67,67,спорт,велосипедист; байдарка; равный; ехать; пройти
68,68,спорт,соревнование; равный
69,69,литература,шоколадный; книга; решить
70,70,животные,год; день
71,71,литература,книга; решить; 15
72,72,литература,написать; решить
73,73,животные,жить
74,74,спорт,мина; задача; часть; решить
75,75,спорт,байдарка; турист; задача; равный; решить
76,76,животные,гусь; день
77,77,литература,книга; страница; прочитать; алиса
78,78,литература,руб
79,79,животные,корова
80,80,животные,дерево; парка; пруд; утка
81,81,спорт,занимать; шаг; место; получить
82,82,спорт,мяч; задача; решить
83,83,литература,решить
84,84,спорт,лодка; турист; задача; решить; пристань
85,85,литература,продать; незнайка; 30
86,86,спорт,мяч
87,87,спорт,шаг; составлять
88,88,спорт,соревнование; байдарка; турист; задача; равный; решить
89,89,литература,книга; решить
90,90,животные,это
91,91,литература,решить
92,92,животные,20; год; 10
93,93,спорт,вес; увеличиться
94,94,литература,тетрадь; сделать
95,95,литература,руб; решить; 15; купить
96,96,литература,москва; тетрадь; решить
97,97,спорт,велосипедист; комната; мальчик; длина; равный; дом
98,98,спорт,команда; игрок
99,99,животные,
100,100,спорт,турист; длина; задача; решить
101,101,животные,птица; дерево; нога; вид; это; звёздочка
102,102,животные,муравейник; считать
103,103,литература,тетрадь; столько; остаться; рубль; накопить
104,104,спорт,проходить; велосипедист; турист; байдарка; подняться; группа; составлять; задача; решить
105,105,животные,река
106,106,литература,книга
107,107,животные,масса; маленький
108,108,спорт,мяч; составлять; часть
109,109,литература,подарить; коллекция
110,110,спорт,велосипедист
111,111,спорт,турист; байдарка; составлять; задача; решить
112,112,литература,коробка; город
113,113,литература,книга; решить
114,114,литература,сказка; решить
115,115,литература,15; обед
116,116,литература,руб; ботинок; 15; написать; сделать; школа
117,117,спорт,играть
118,118,литература,решить; 15
119,119,животные,загон; размах
120,120,животные,берег
121,121,литература,книга; прочитать; страница; кружка
122,122,спорт,игрок
123,123,литература,остаться
124,124,литература,решить
125,125,спорт,команда; задача; решить
126,126,литература,коробка; тетрадь; решить
127,127,литература,бумага; лист; книга; тетрадь; пачка
128,128,животные,
129,129,литература,15
130,130,животные,яблоко
131,131,животные,
132,132,литература,решить
133,133,спорт,составлять; пройти
134,134,животные,
135,135,литература,конец; попугай; решить; сделать
136,136,литература,написать
137,137,литература,лист; школа
138,138,спорт,велосипедист
139,139,животные,ящик; яблоко; маленький
140,140,литература,мука; книга; мама; 35
141,141,животные,наш; маленький
142,142,литература,книга; сказка; 15
143,143,литература,мука; книга; 15
144,144,спорт,составлять; увеличиться; задача; решить
145,145,литература,коробка; 15; 35
146,146,литература,остаться; купить
147,147,спорт,велосипедист
148,148,спорт,вес; увеличиться
149,149,животные,собака; рисунок
150,150,животные,кошка
151,151,литература,решить; школа
152,152,животные,вид; дорога; иметь
153,153,литература,тетрадь; учебник; решить
154,154,литература,автомобиль; сначала; решить
155,155,животные,ящик
156,156,спорт,соревнование; задача; решить
157,157,спорт,мальчик; получить; заниматься
158,158,литература,книга; тетрадь
159,159,животные,полить; 11
160,160,литература,
161,161,животные,корова
162,162,животные,дорога; 10
163,163,спорт,проходить; длина; задача; получить; равный; решить
164,164,животные,жить; клетка; птица; считать
165,165,литература,30
166,166,литература,написать
167,167,литература,ручка; рубль; решить
168,168,спорт,мяч; соревнование; спортивный; получить; задача; решить
169,169,литература,коробка; лист; решить
170,170,спорт,спортивный; задача; решить
171,171,животные,кролик; иметь; банка
172,172,животные,размах; 11
173,173,литература,
174,174,литература,книга; сделать
175,175,литература,журнал; букет; подарить; решить; подарок; рубль; купить
176,176,животные,
177,177,животные,жить; цыплёнок; кенгуру
178,178,животные,добыча; акула; вид
179,179,спорт,мяч; задача; часть; решить
180,180,литература,праздник; сделать
181,181,литература,москва; решить
182,182,литература,решить
183,183,литература,журнал; тетрадь; остаться; сделать; купить
184,184,литература,тетрадь; решить; сделать
185,185,литература,тетрадь; написать; решить
186,186,животные,загон
187,187,литература,рубль; решить; 15; сделать; купить
188,188,животные,рисунок
189,189,спорт,играть; математический; мяч
190,190,литература,страница
191,191,спорт,деревня; место; решить
192,192,литература,конец; учебник; решить
193,193,спорт,дм; длина; задача; равный; решить; квадрат
194,194,животные,собака
195,195,животные,
196,196,литература,конец; автомобиль; город
197,197,спорт,составлять; занимать; часть; место; длина; дом
198,198,литература,решить
199,199,животные,корова; день
200,200,животные,слон
201,201,литература,руб; подарить; решить; купить; накопить
202,202,животные,семя; курица
203,203,животные,маленький
204,204,спорт,спортивный; заниматься; задача
205,205,спорт,спортивный
206,206,спорт,соревнование
207,207,литература,тетрадь; решить; 13
208,208,спорт,мяч; обруч; скакалка; комната
209,209,животные,орех; маленький
210,210,животные,вид; день
211,211,литература,коробка; решить
212,212,спорт,велосипедист; комната; девочка; длина; равный; дом
213,213,литература,пример; решить; 15
214,214,спорт,соревнование; спортивный; место; комната; группа; мальчик; дом
215,215,литература,москва
216,216,животные,высота; 10; маленький
217,217,животные,жить; это
218,218,спорт,машинка; магазин
219,219,спорт,играть; задача
220,220,животные,зоомагазин
221,221,спорт,играть
222,222,животные,загон; курица; 10
223,223,спорт,увеличиться; длина; девочка
224,224,спорт,соревнование; мальчик; задача; решить
225,225,литература,журнал; рубль; решить
226,226,литература,книга
227,227,литература,решить; остаться
228,228,животные,год
229,229,спорт,спортивный; получить; задача; решить
230,230,животные,загон; овца
231,231,литература,помощник; остаться; сделать
232,232,спорт,велосипед; составлять; пробежать; решить; ехать
233,233,спорт,команда; группа; задача
234,234,литература,написать; учебник
235,235,спорт,команда; группа; задача
236,236,животные,высота; это
237,237,литература,город
238,238,литература,шоколадный; картофель; решить; ложка; 15; 35; обед; 23; 13
239,239,животные,масса; иметь; юпитерианский; рисунок; маленький; год; смотреть
240,240,спорт,дм; длина; равный; часть
241,241,животные,загон; корова; молоко
242,242,литература,марка; подарить; коллекция
243,243,литература,автомобиль
244,244,животные,берег; река
245,245,животные,тело; вид; 10
246,246,животные,
247,247,музыка,песня
248,248,спорт,пробежать
249,249,литература,конец; решить
250,250,литература,пример
251,251,литература,15
252,252,спорт,команда; задача; решить
253,253,спорт,велосипедист; задача; решить
254,254,литература,написать
255,255,животные,весить; маленький
256,256,литература,москва; 15
257,257,литература,пример; автомобиль; самолёт
258,258,животные,пища; это
259,259,литература,книга
260,260,животные,загон; год
261,261,литература,решить
262,262,животные,тело; акула; белый
263,263,животные,река; 20; 10
264,264,литература,незнайка
265,265,литература,руб; ручка; решить; 15; купить
266,266,литература,тетрадь; пачка
267,267,животные,корова
268,268,животные,рисунок
269,269,животные,морковь; корова; фермер; маленький
270,270,литература,тетрадь; конец
271,271,животные,река; маленький
272,272,животные,семя; вид; 20; смочь; день
273,273,спорт,физкультура; группа; заниматься; задача; решить
274,274,литература,решить; рубль; 15; школа; накопить
275,275,литература,автомобиль; решить
276,276,животные,нога
277,277,литература,картинка; держать; попугай
278,278,литература,картофель; решить; сделать
279,279,литература,синий; тарелка; палочка
280,280,спорт,пробежать; мальчик; задача; часть
281,281,литература,москва
282,282,животные,20; смотреть
283,283,животные,древний; маленький
284,284,литература,книга; коробка; остаться; 35
285,285,литература,руб; тетрадь; 15; 13
286,286,животные,высота; смотреть
287,287,животные,
288,288,животные,год; собака; вид
289,289,спорт,велосипед; деревня; команда; велосипедист; математический; часть; получить; длина; задача; 22; решить; ехать
290,290,животные,молоко; год
291,291,животные,корова; кошка; собака; это
292,292,литература,учебник; 15; решить; сделать
293,293,животные,масса; весить
294,294,животные,пруд; птица; утка; 20; считать; маленький; 10; это
295,295,животные,слон; масса; птичка; маленький
296,296,спорт,велосипед; команда; девочка; решить; пройти
297,297,животные,высота
298,298,животные,берег; река; 10
299,299,животные,тело; это
300,300,спорт,соревнование; команда; группа
301,301,литература,решить; 30
302,302,спорт,пробежать; место; получить
303,303,спорт,турист; группа; равный; пройти
304,304,литература,
305,305,животные,гриб; вид; 20; иметь; это; белый
306,306,спорт,спортивный; мина; часть
307,307,спорт,спортивный; задача; решить
308,308,животные,кролик; цирк; 38; день
309,309,животные,вид
310,310,литература,слово
311,311,животные,кошка; 10
312,312,литература,тетрадь; решить; сделать
313,313,литература,пример; решить
314,314,литература,решить; 30
315,315,спорт,подняться; задача; решить
316,316,животные,собака; год
317,317,литература,книга
318,318,спорт,мина; 22; часть
319,319,животные,это
320,320,спорт,мина; пробежать; часть
321,321,животные,день
322,322,животные,вид; маленький; смотреть
323,323,спорт,проходить; сутки
324,324,спорт,играть; лодка; задача
325,325,спорт,велосипедист; задача; решить
326,326,литература,ксюша; решить; 13
327,327,спорт,занимать; равный; длина
328,328,животные,высота; комната; иметь; маленький; смотреть
329,329,спорт,турист; группа; равный; пройти
330,330,литература,книга; мука; решить
331,331,литература,книга; решить
332,332,литература,
333,333,спорт,велосипедист; задача; решить
334,334,животные,
335,335,спорт,набор
336,336,животные,кошка; зоомагазин; собака
337,337,литература,книга
338,338,животные,размах; 10
339,339,животные,ягода; кролик; килограмм; 10
340,340,литература,знать; бумага; лист; слово; остаться; сделать; написать; прочитать; решить; 15
341,341,спорт,турист; задача; решить
342,342,животные,яблоко
343,343,животные,высота; смотреть
344,344,спорт,пакет; вес; заниматься; задача; часть; решить
345,345,спорт,соревнование; задача; решить
346,346,животные,иметь
347,347,спорт,спортивный; заниматься; длина; задача; решить
348,348,литература,решить
349,349,литература,москва; город
350,350,спорт,мальчик; девочка
351,351,спорт,турист; соревнование; составлять; задача; равный; пройти
352,352,спорт,спортивный; мина; часть
353,353,литература,тетрадь; учебник
354,354,спорт,соревнование; пробежать; сыграть; задача; игра; мальчик; решить; равный
355,355,животные,слон; маленький
356,356,литература,купить
357,357,литература,решить
358,358,спорт,велосипедист; ехать
359,359,литература,пример
360,360,литература,тетрадь; решить; гость; 30; город
361,361,литература,книга; прочитать; решить; накопить
362,362,спорт,соревнование; место
363,363,литература,решить
364,364,животные,кошка; масса; килограмм
365,365,животные,
366,366,животные,11; день
367,367,литература,книга; 15
368,368,литература,руб; бумага; страница; журнал; книга; решить; 35
369,369,спорт,составлять; длина; задача; равный; дом; решить
370,370,животные,собака; маленький
371,371,литература,решить
372,372,литература,книга; подарить
373,373,животные,рыба; иметь
374,374,животные,поймать; рыба; размах; 26; иметь; 20; 27; 11; крыло; 10; маленький; смотреть; день
375,375,литература,решить; рубль
376,376,спорт,велосипедист; проходить; увеличиться
377,377,литература,решить
378,378,животные,смотреть
379,379,животные,
380,380,животные,год
381,381,спорт,мяч; мальчик
382,382,литература,страница
383,383,спорт,мяч; задача; часть
384,384,спорт,велосипедист; стоянка; длина; задача; решить; ехать; пройти
385,385,животные,корова
386,386,спорт,команда; игрок; задача; решить
387,387,литература,тетрадь; решить; сделать
388,388,спорт,пакет
389,389,литература,тетрадь; рубль; сделать
390,390,животные,
391,391,литература,тетрадь; столько; подарить; мама; остаться; посадить
392,392,литература,знать; автомобиль; самолёт
393,393,животные,яйцо; курица; день
394,394,литература,книга
395,395,животные,загон
396,396,спорт,спортивный; длина; задача
397,397,животные,высота; смочь
398,398,животные,отрезать; смотреть
399,399,спорт,составлять; часть
400,400,животные,цель
401,401,литература,тетрадь; учебник; решить
402,402,животные,кошка; собака; 20; смочь; 10; день
403,403,литература,
404,404,литература,руб; решить; мама; рубль
405,405,животные,кошка
406,406,животные,год; 26
407,407,спорт,составлять; задача; решить
408,408,литература,решить; 15
409,409,спорт,мина; задача; часть; решить
410,410,литература,пример; 30; решить; 35
411,411,литература,мука; пирожковый; книга; тетрадь; написать; остаться; сделать
412,412,литература,руб; сначала; 15
413,413,спорт,соревнование; получить
414,414,животные,день
415,415,спорт,велосипедист; равный; пройти
416,416,литература,решить
417,417,литература,слово; город
418,418,литература,решить; учебник; 15
419,419,литература,книга; сделать; решить; рамка
420,420,спорт,игрок; комната; увеличиться; 22
421,421,литература,руб; роза; рубль; решить; сделать
422,422,спорт,группа; турист; задача; часть; пройти
423,423,музыка,гитара
424,424,спорт,группа; составлять; задача; часть; решить; пройти
425,425,спорт,велосипедист; равный; ехать; пройти
426,426,спорт,занимать; часть
427,427,животные,река
428,428,литература,бабушка; остаться; мама
429,429,животные,кролик; килограмм
430,430,литература,остаться; купить
431,431,литература,коробка; сначала; решить; купить; 15
432,432,спорт,мина; часть; набрать
433,433,животные,крокодил; дорога; смочь; это
434,434,животные,кошка; собака; 20; смочь; 10; день
435,435,животные,
436,436,спорт,соревнование; подняться; задача; решить; сутки
437,437,литература,страница; прочитать; книга; тетрадь; остаться; решить; 23
438,438,спорт,байдарка; составлять; задача; равный; решить
439,439,животные,высота; крупный
440,440,животные,иметь
441,441,литература,решить
442,442,литература,решить
443,443,животные,слон; жить; кошка; маленький
444,444,литература,коробка
445,445,животные,жить
446,446,спорт,соревнование
447,447,животные,это
448,448,животные,смотреть
449,449,спорт,велосипедист; задача; составлять; решить
450,450,животные,рыбка; пруд
451,451,спорт,мина; часть; набрать
452,452,литература,таблетка; решить; 15
453,453,литература,книга
454,454,животные,вид; 20; день
455,455,спорт,велосипедист; ехать
456,456,литература,руб; прочитать; сделать
457,457,животные,это; день
458,458,животные,кролик; ёж
459,459,спорт,соревнование; задача; решить
460,460,литература,тетрадь; марина; учебник; решить
461,461,животные,26; 38; иметь
462,462,спорт,пробежать; сыграть; задача; игра; мальчик; решить; равный
463,463,литература,книга; сборник; страница; тетрадь; прочитать; подарить; решить
464,464,литература,
465,465,литература,решить
466,466,спорт,составлять; задача; часть; решить
467,467,литература,знать; остаться; решить; школа; посадить
468,468,спорт,соревнование; получить
469,469,литература,решить
470,470,литература,решить; 15
471,471,животные,год; 20
472,472,спорт,проходить; команда; порт; пристань
473,473,литература,руб; тетрадь; сделать
474,474,спорт,пробежать; составлять; пройти
475,475,животные,11; день
476,476,литература,тетрадь; остаться; сделать
477,477,животные,берёза
478,478,животные,молоко; вид
479,479,животные,высота; это
480,480,спорт,спортивный; задача; равный; решить
