,task,ans,score
0,"	1.1. Летом в спортивный лагерь ходили 50 детей, из них 9 девочек. Сколько мальчиков ходили в спортивный лагерь?",спорт,0.9834461515757268
1,	1.2. На концерте в летнем лагере ребята играли на гитарах. У 3 гитар 18 струн. Сколько струн у 1 гитары?,музыка,0.8139362891459433
2,"	1.3. В конце учебного года во 2 классе фотограф сделал снимки учеников. В первый день он сфотографировал 40 человек, во второй – на 10 человек больше, чем в первый, а в третий – на 5 меньше, чем в оба предыдущих дня вместе. Сколько учеников было сфотографировано в третий день?",спорт,0.9891464303735491
3,"	1.4. Во время летних соревнований по плаванию ребята посетили бассейн. Длина плавательной дорожки в бассейне 25 м. После того как первый участник соревнований проплыл часть дорожки, ему осталось проплыть 10 м. Сколько метров уже проплыл участник соревнований?",спорт,0.957336372627077
4,"	1.5. В спортивную школу во время летних каникул купили 10 теннисных и 12 волейбольных мячей. На сколько теннисных мячей меньше, чем волейбольных?",спорт,0.9298364897160605
5,"	1.6*. Фрекен Бок испекла 20 пирожков. После обеда осталось столько же пирожков, сколько съели. Сколько пирожков съели?",спорт,0.623258239757962
6,"	1.7. Самые крупные животные на нашей планете – синие киты. Они весят 150 т, их длина 33 м. Если такого кита поставить на голову, он будет высотой с десятиэтажный дом. Самое высокое на Земле животное – жираф. Его рост почти 5 м. На сколько жираф меньше кита?",животные,0.9086060796911677
7,	1.8. Нужно было заправить бензином 24 легковых и 6 грузовых машин. Заправили 19 машин. Сколько машин осталось заправить?,литература,0.7759230867198122
8,"	1.9. В летнем лагере ребята проходили медосмотр. Медсестра измеряла их рост. Оказалось, что Настя выше Кати на 5 см, а Маша ниже Кати на 3 см. На сколько сантиметров самая высокая девочка выше самой низкой?",спорт,0.6726778321510969
9,"	1.10. Летом во время жары ребята пошли купаться. На речку отправились 7 ребят, а на озеро – на 4 больше. Сколько всего ребят пошли купаться на озеро и на речку?",животные,0.8686499996620286
10,	1.11. Три кошки купили сапожки по паре на каждую кошку. Сколько у кошек ножек? Сколько пар они купили сапожек?,животные,0.9942527222855978
11,"	1.12. На фабрике игрушек за 1 день изготовили 15 кукол, машинок – на 7 больше, а погремушек – столько, сколько кукол и машинок вместе. Сколько изготовили погремушек?",спорт,0.7664965962988844
12,"	1.13. Сначала из бочки взяли 6 вёдер воды, а потом в неё налили 12 вёдер. Больше или меньше стало воды в бочке и на сколько вёдер?",спорт,0.6497903260523323
13,"	1.14*. Рост Буратино 1 м, а длина его носа 9 см. На сколько сантиметров длина носа Буратино меньше его роста?",спорт,0.9800252884276129
