,Unnamed: 0,text,ans,paraphrase,pharaphrase
0,0,"	1.1. Летом в спортивный лагерь ходили 50 детей, из них 9 девочек. Сколько мальчиков ходили в спортивный лагерь?",спорт,," Летом в спортивный лагерь ходили 50 детей, из них 9 девочек  Сколько мальчиков ходили в спортивный лагерь?"
1,1,	1.2. На концерте в летнем лагере ребята играли на гитарах. У 3 гитар 18 струн. Сколько струн у 1 гитары?,музыка,, На российском фестивале в летнем лагере ребята играли на гитарах. У трех гитар 18 струн.  Сколько струн у 1 гитары?
2,2,"	1.3. В конце учебного года во 2 классе фотограф сделал снимки учеников. В первый день он сфотографировал 40 человек, во второй – на 10 человек больше, чем в первый, а в третий – на 5 меньше, чем в оба предыдущих дня вместе. Сколько учеников было сфотографировано в третий день?",неизвестно,,
3,3,"	1.4. Во время летних соревнований по плаванию ребята посетили бассейн. Длина плавательной дорожки в бассейне 25 м. После того как первый участник соревнований проплыл часть дорожки, ему осталось проплыть 10 м. Сколько метров уже проплыл участник соревнований?",спорт,," Во время летних соревнований по плаванию ребята посетили бассейн В бассейне 25 м после того как первый участник соревнований проплыл дорожку, он осталось проплывть 10 метров?"
4,4,"	1.5. В спортивную школу во время летних каникул купили 10 теннисных и 12 волейбольных мячей. На сколько теннисных мячей меньше, чем волейбольных?",спорт,, В спортивную школу во время летних каникул купили 10 футбольных мячей. сколько мячей больше волейбольных?
5,5,"	1.6*. Фрекен Бок испекла 20 пирожков. После обеда осталось столько же пирожков, сколько съели. Сколько пирожков съели?",неизвестно,,
6,6,"	1.7. Самые крупные животные на нашей планете – синие киты. Они весят 150 т, их длина 33 м. Если такого кита поставить на голову, он будет высотой с десятиэтажный дом. Самое высокое на Земле животное – жираф. Его рост почти 5 м. На сколько жираф меньше кита?",животные,," Самые крупные животные на нашей планете – синие киты Если такого кита поставить на голову, он сможет быть высотой с десятиэтажный дом.  Если такого кита поставить на голову, он будет высотой с десятиэтажный дом сколько жираф меньше всего кита?"
7,7,	1.8. Нужно было заправить бензином 24 легковых и 6 грузовых машин. Заправили 19 машин. Сколько машин осталось заправить?,неизвестно,,
8,8,"	1.9. В летнем лагере ребята проходили медосмотр. Медсестра измеряла их рост. Оказалось, что Настя выше Кати на 5 см, а Маша ниже Кати на 3 см. На сколько сантиметров самая высокая девочка выше самой низкой?",спорт,," В летнем лагере в детском саду проходили медосмотр. Медсестра и медсестр оценили рост. Оказалось, что Настя ниже Кати на 5 см, Маша выше Кати. Какое количество сантиметров самая высокая девочка?"
9,9,"	1.10. Летом во время жары ребята пошли купаться. На речку отправились 7 ребят, а на озеро – на 4 больше. Сколько всего ребят пошли купаться на озеро и на речку?",неизвестно,,
