texts,labels
1 Хамелеоны могут двигать глазами в разных направлениях одновременно.,0
"2 Белка – лучший садовник. Миллионы деревьев вырастают потому, что белки забывают, куда спрятали семечки.",0
3 Зуб слона  может весить до девяти килограмм!,0
"4 У млекопитающих кровь красная, у насекомых жёлтая, у омаров синяя.",0
5 В среднем коровы какают 16 раз в день.,0
"6  Муравьи никогда не спят. Вместо этого, они «отдыхают» по восемь минут “отдохнуть” два раза в день. Отдых королевы муравьев занимает  90 минут в день.",0
"7. Басенджи – единственная собака, которая не может лаять.",0
"8. Только половина мозга дельфина спит. Вторая половина в то время  бодрствует, и следит за окружающей обстановкой.",0
"9. Блоха может передвигаться только прыжками, мышцы её лапок устроены, как катапульты. Они накапливают энергию и “выстреливают” блоху в прыжок.",0
10. Глаз гигантского кальмара размером с баскетбольный мяч.,0
"11. Бегемоты рожают под водой, чтобы защитить своих детей от падения!",0
12. У лебедя более 25000 перьев на  теле.,0
"13.  20-метровый угорь может вырабатывать  энергию , способную зажечь 12 лампочек.",0
14. Змеи  видят -через веки.,0
15. Крысы могут смеяться если их пощекотать.,0
"16. Крот может выкопать тоннель длиной до 300 метров, за одну ночь.",0
" 17 Из-за своей постоянной улыбки, квокка известен считается самым  счастливым животным.",0
18 Морские котики  могут задерживать дыхание на два часа.,0
"19. Когда устрицам необходимо размножаться, они  могут менять свой пол.",0
"20. Вороны настолько умны, что они любят проказничать! Они даже могут подкрасться к собаке сзади и играя хватать ее клювом за хвост.",0
"21. Жирафы не имеют голосовых связок, поэтому они не могут “говорить!”",0
"22. Горбатые киты издают самый громкий звук любого млекопитающего, он  может быть слышан за 20 километров!",0
"23. Лошади имеют хорошую память, они могут  помнить вещи, людей, которых они встречали, а также навыки которыми владели несколько лет назад.",0
" 24. Зебры бегут зигзагами, чтобы спастись от хищников.",0
25 Божьи Коровки могут убирать за собой еду.,0
"26. У нарвала цвет кожи зависит от его возраста: чем светлее кожа, тем старше нарвала.",0
27. У коал отпечатки пальцев похожи на  человеческие.,0
"28. Все сурикаты  имеют обязанности в  группе, в которой  живут.",0
29. Крокодилы не могут высовывать язык!,0
"30. Когда обезьяны-пауки  встречаются, то они обнимают  друг друга.",0
31. Кошки имеют 32 мышцы в каждом из своем ухе.,0
32. Летучие мыши являются единственными млекопитающими которые могут летать?,0
33. Белые медведи-левши.,0
34. У золотой рыбки память 3 секунды,0
"35. Даже после того, как медуза умерла, она все еще может ужалить.",0
36. Навозные жуки могут переносить на себе грузы в 50 раз превышающие его массу тела .,0
37. Сердце креветки находится в голове.,0
38. Улитка может спать три года подряд.,0
39. Щеки бурундука могут  растягиваться от орешек и еды в три раза больше чем его голова.,0
"40 У тигра не только полосатая шкура, но и тело тоже.",0
"41 Морские коньки плавают “держась за руки”, это они связывают вместе свои хвосты.",0
"42. Глаз у страуса больше, чем размер его мозга.",0
43. Волки могут съесть 20 кг мяса за один прием пищи.,0
44. Бабочки пробуют пищу ногами.,0
45. Беркут может летать со скоростью свыше 250 км/час.,0
46. Яд лягушки – стрелка может убить 2200 человек.,0
"47. Львы не могут рычать, пока им не исполнится 2 года.",0
