,Unnamed: 0,text,ans,translated
0,0,"	1.1. Летом в спортивный лагерь ходили 50 детей, из них 9 девочек. Сколько мальчиков ходили в спортивный лагерь?",спорт,"In the summer, 50 children went to the sports camp, 9 of them were girls. How many boys went to sports camp? "
1,1,	1.2. На концерте в летнем лагере ребята играли на гитарах. У 3 гитар 18 струн. Сколько струн у 1 гитары?,музыка, The guys played guitars at the summer camp concert. 3 guitars have 18 strings. How many strings does 1 guitar have? 
2,2,"	1.3. В конце учебного года во 2 классе фотограф сделал снимки учеников. В первый день он сфотографировал 40 человек, во второй – на 10 человек больше, чем в первый, а в третий – на 5 меньше, чем в оба предыдущих дня вместе. Сколько учеников было сфотографировано в третий день?",неизвестно," At the end of the school year in 2nd grade, a photographer took pictures of the students. On the first day, he photographed 40 people, on the second - 10 more people than on the first, and on the third - 5 fewer than on both previous days together. How many students were photographed on the third day?"
3,3,"	1.4. Во время летних соревнований по плаванию ребята посетили бассейн. Длина плавательной дорожки в бассейне 25 м. После того как первый участник соревнований проплыл часть дорожки, ему осталось проплыть 10 м. Сколько метров уже проплыл участник соревнований?",спорт,"During the summer swimming competition, the guys visited the pool. The length of the swimming lane in the pool is 25 m. After the first competitor has swum part of the lane, he has 10 m to swim. How many meters has the competitor already swum? "
4,4,"	1.5. В спортивную школу во время летних каникул купили 10 теннисных и 12 волейбольных мячей. На сколько теннисных мячей меньше, чем волейбольных?",спорт, We bought 10 tennis and 12 volleyball balls for the sports school during the summer holidays. How many tennis balls are smaller than volleyballs? 
5,5,"	1.6*. Фрекен Бок испекла 20 пирожков. После обеда осталось столько же пирожков, сколько съели. Сколько пирожков съели?",неизвестно," Freken Bok baked 20 pies. After lunch, there were as many pies left as they had eaten. How many pies did you eat?"
6,6,"	1.7. Самые крупные животные на нашей планете – синие киты. Они весят 150 т, их длина 33 м. Если такого кита поставить на голову, он будет высотой с десятиэтажный дом. Самое высокое на Земле животное – жираф. Его рост почти 5 м. На сколько жираф меньше кита?",животные,"The largest animals on our planet are blue whales. They weigh 150 tons, their length is 33 m. If you put such a whale on its head, it will be as high as a ten-story building. The tallest animal on Earth is a giraffe. Its height is almost 5 m. How much is a giraffe smaller than a whale? "
7,7,	1.8. Нужно было заправить бензином 24 легковых и 6 грузовых машин. Заправили 19 машин. Сколько машин осталось заправить?,неизвестно, It was necessary to refuel 24 cars and 6 trucks. Refueled 19 cars. How many cars are left to refuel? 
8,8,"	1.9. В летнем лагере ребята проходили медосмотр. Медсестра измеряла их рост. Оказалось, что Настя выше Кати на 5 см, а Маша ниже Кати на 3 см. На сколько сантиметров самая высокая девочка выше самой низкой?",спорт," At the summer camp, the guys underwent a medical examination. The nurse measured their height. It turned out that Nastya is 5 cm higher than Katya, and Masha is 3 cm lower than Katya. How many centimeters is the tallest girl higher than the lowest?"
9,9,"	1.10. Летом во время жары ребята пошли купаться. На речку отправились 7 ребят, а на озеро – на 4 больше. Сколько всего ребят пошли купаться на озеро и на речку?",неизвестно,"In the summer, during the heat, the guys went for a swim. 7 children went to the river, and 4 more went to the lake. How many guys went to swim on the lake and on the river? "
10,10,	1.11. Три кошки купили сапожки по паре на каждую кошку. Сколько у кошек ножек? Сколько пар они купили сапожек?,животные, Three cats bought a pair of boots for each cat. How many legs do cats have? How many pairs of boots did they buy? 
11,11,"	1.12. На фабрике игрушек за 1 день изготовили 15 кукол, машинок – на 7 больше, а погремушек – столько, сколько кукол и машинок вместе. Сколько изготовили погремушек?",неизвестно," The toy factory produced 15 dolls in 1 day, cars - 7 more, and rattles - as many as dolls and cars together. How many rattles were made?"
12,12,"	1.13. Сначала из бочки взяли 6 вёдер воды, а потом в неё налили 12 вёдер. Больше или меньше стало воды в бочке и на сколько вёдер?",неизвестно,"First, 6 buckets of water were taken from the barrel, and then 12 buckets were poured into it. Is there more or less water in the barrel and how many buckets? "
13,13,"	1.14*. Рост Буратино 1 м, а длина его носа 9 см. На сколько сантиметров длина носа Буратино меньше его роста?",неизвестно," The height of Buratino is 1 m, and the length of his nose is 9 cm. How many centimeters is the length of Buratino's nose less than his height? "
14,14,	1.15. За завтраком школьники выпили 15 стаканов чая и всё какао. Осталось 5 стаканов кофе. Всего было приготовлено 30 стаканов с этими напитками. Сколько стаканов какао выпили школьники?,неизвестно," At breakfast, the students drank 15 glasses of tea and all the cocoa. 5 cups of coffee left. A total of 30 glasses were prepared with these drinks. How many glasses of cocoa did the schoolchildren drink?"
15,15,	1.16. В каждой из 5 матрёшек умещаются ещё 3 матрёшки. Сколько всего матрёшек?,неизвестно,Each of the 5 nesting dolls can hold 3 more nesting dolls. How many nesting dolls are there? 
16,16,"	1.17. Винтик и Шпунтик бежали наперегонки. Когда Винтик пробежал 50 м, Шпунтик обогнал его на 7 м. Сколько метров пробежал Шпунтик?",спорт," Cog and Shpuntik were racing. When Vintik ran 50 m, Shpuntik overtook him by 7 m. How many meters did Shpuntik run? "
17,17,"	1.18. Когда ребята для соревнований взяли 19 скакалок, то осталось ещё 3 скакалки. Сколько скакалок было?",спорт," When the guys took 19 ropes for the competition, there were 3 more ropes left. How many skipping ropes were there?"
18,18,	1.19. Начерти прямоугольник со сторонами 5 см и 8 см. Найди периметр.,неизвестно,Draw a rectangle with sides 5 cm and 8 cm. Find the perimeter. 
19,19,"	1.20. Ребята из авиамодельного кружка устроили соревнования в парке. В небо взлетело 10 моделей самолётов, 5 моделей вертолётов, а аэропланов – столько, сколько самолётов и вертолётов вместе. Сколько всего моделей летало в парке?",неизвестно," The guys from the aeromodelling circle organized a competition in the park. 10 models of airplanes, 5 models of helicopters took off into the sky, and there were as many airplanes as there were airplanes and helicopters together. How many models have flown in the park? "
20,20,"	1.21. Длина одной стороны прямоугольника 9 см, другой – на 5 см меньше. Найди периметр этого прямоугольника.",неизвестно," The length of one side of the rectangle is 9 cm, the other is 5 cm less. Find the perimeter of this rectangle."
21,21,	1.22. Фунтик разложил 30 пирожков на 10 тарелок поровну. Сколько пирожков он положил на каждую тарелку?,неизвестно,Funtik divided 30 pies into 10 plates equally. How many pies did he put on each plate? 
22,22,"	1.23. Толя, готовясь к началу учебного года, купил 3 тетради по 10 руб. каждая. Сколько денег заплатил Толя за все тетради?",неизвестно," Tolya, preparing for the beginning of the school year, bought 3 notebooks for 10 rubles. each one. How much money did Tolya pay for all the notebooks? "
23,23,"	1.24. Начерти квадрат, длина стороны которого 6 см. Найди его периметр.",неизвестно, Draw a square with a side length of 6 cm. Find its perimeter.
24,24,"	1.25. У продавца было 30 шаров: 15 синих, 4 жёлтых, а остальные – зелёные. Сколько зелёных шаров было у продавца?",неизвестно,"The seller had 30 balls: 15 blue, 4 yellow, and the rest were green. How many green balls did the seller have? "
25,25,"	1.26. Незнайка, побывав в роли художника, нарисовал 8 портретов, а пейзажей – на 6 больше. Сколько всего картин нарисовал Незнайка?",неизвестно," Dunno, having been an artist, painted 8 portraits, and landscapes - 6 more. How many paintings have Dunno painted? "
26,26,"	1.27. Стороны треугольника равны 3 см, 9 см, 5 см. Найди периметр этого треугольника.",неизвестно," The sides of the triangle are 3 cm, 9 cm, 5 cm. Find the perimeter of this triangle."
27,27,	1.28. Детям в классе в начале нового учебного года раздали 12-листовые тетради по 3 тетради каждому. Сколько тетрадных листов получил каждый ученик?,неизвестно,"At the beginning of the new school year, children in the class were given 12-sheet notebooks, 3 notebooks each. How many notebook sheets did each student receive? "
28,28,	1.29. Вороны высиживают яйца три недели. Сколько дней высиживают яйца вороны?,животные, Crows hatch eggs for three weeks. How many days do crows hatch? 
29,29,"	1.30. В киоске 10 журналов, 14 брошюр1, а газет на 6 больше, чем журналов и брошюр вместе. Сколько газет в киоске?",литература," The kiosk has 10 magazines, 14 brochures1, and there are 6 more newspapers than magazines and brochures combined. How many newspapers are there in the kiosk?"
30,30,	1.31. Грач приносил своим птенцам по 2 червя 6 раз. Сколько всего червей принёс грач птенцам?,животные,The rook brought his chicks 2 worms 6 times. How many worms did the rook bring to the chicks? 
31,31,	1.32. Зоя для букетов любимым учителям к 1 сентября срезала 5 красных и 10 синих астр. Все астры она поставила в 3 вазы. Сколько астр в одной вазе?,неизвестно, Zoya cut 5 red and 10 blue asters for bouquets for her favorite teachers by September 1. She put all the asters in 3 vases. How many asters are in one vase? 
32,32,"	1.33. В саду 11 яблонь, это на 6 больше, чем слив. Сколько слив в саду? Сколько всего деревьев в саду?",неизвестно," There are 11 apple trees in the garden, which is 6 more than plums. How many plums are there in the garden? How many trees are there in the garden?"
33,33,"	1.34. В буфете 12 ложек, это на 5 меньше, чем вилок. Сколько всего столовых приборов в буфете?",неизвестно,"There are 12 spoons in the buffet, which is 5 less than forks. How many cutlery are there in the buffet? "
34,34,"	1.35. Фруктоежкин за обедом съел 12 яблок, 13 груш, а мандаринов – на 5 больше, чем яблок и груш вместе. Сколько мандаринов съел Фруктоежкин за обедом?",неизвестно," Fruktoezhkin ate 12 apples, 13 pears, and tangerines - 5 more than apples and pears together. How many tangerines did Fruktoezhkin eat at dinner? "
35,35,"	1.36. Витаминчиков съел 6 штук кураги, чернослива – на 2 меньше, а изюма – столько, сколько кураги и чернослива вместе. Сколько изюма съел Витаминчиков?",неизвестно," Vitaminchikov ate 6 pieces of dried apricots, prunes - 2 less, and raisins - as much as dried apricots and prunes together. How many raisins did Vitaminchikov eat?"
36,36,"	1.37. В классе 11 девочек, на 2 больше, чем мальчиков. Сколько всего детей в классе?",неизвестно,"There are 11 girls in the class, 2 more than boys. How many children are there in the class? "
37,37,"	1.38. В классе было несколько человек. Когда пришли ещё 6, стало 15. Сколько человек было в классе сначала?",неизвестно," There were several people in the class. When 6 more arrived, it became 15. How many people were in the class at first? "
38,38,"	1.39. На каждом этаже дома по 8 квартир. Сколько всего квартир в доме, если он трёхэтажный?",неизвестно, There are 8 apartments on each floor of the building. How many apartments are there in the house if it has three floors?
39,39,"	1.40. Вика и Лера сплели каждая по 2 венка, а Оля сплела целых 4. Сколько венков сплели девочки?",неизвестно,"Vika and Lera wove 2 wreaths each, and Olya wove as many as 4. How many wreaths did the girls wove? "
40,40,"	1.41. В летние каникулы за день Наташа прочитала 25 страниц книги: утром 5 страниц, днём 8 страниц. Сколько страниц Наташа прочитала вечером?",литература," During the summer holidays Natasha read 25 pages of the book in one day: 5 pages in the morning, 8 pages in the afternoon. How many pages did Natasha read in the evening? "
41,41,"	1.42. На лугу расцвели 20 ромашек, васильков – на 12 меньше, а незабудок – столько, сколько ромашек и васильков вместе. Сколько незабудок на лугу?",неизвестно," 20 daisies bloomed in the meadow, cornflowers - 12 fewer, and forget-me-nots - as many as daisies and cornflowers together. How many forget-me-nots are there in the meadow?"
42,42,	1.43. Две серые цапли съели на завтрак по 8 лягушек. Сколько всего лягушек было съедено цаплями?,животные,Two gray herons ate 8 frogs for breakfast. How many frogs were eaten by herons? 
